ProductId,PossibleUserAttributes
0,work code1 graphic_intensive game_dev graphic_design game_engine
1,work code1 graphic_intensive game_dev game_engine graphic_design
2,work code1 graphic_intensive artist vector animator
3,work graphic_intensive artist animator code1 game_engine
4,work code1 data_intensive scientist research graphic_design
5,work code1 data_intensive scientist industry1 industry2 research
6,work code1 data_intensive engineer school industry2 research
7,work code1 data_intensive engineer industry2 industry1 school
8,work admin comm high_end_user advance_usage low_end_user
9,work admin advance_usage comm low_end_user industry3 high_end_user
10,work admin advance_usage data operator
11,work admin advance_usage data system_admin
12,work admin simple_usage word_processing student
13,work admin simple_usage word_processing industry3
14,work admin simple_usage pos small_business large_business student
15,work admin simple_usage pos large_business system_admin industry3 small_business
16,casual gaming hardcore repetitive
17,casual gaming hardcore strategic artist repetitive
18,casual gaming softcore real_time
19,casual gaming softcore casino_games designing
20,casual applications browsing media pictures long_form
21,casual applications browsing media video short_form social
22,casual browsing website online_gaming applications social
23,casual applications website social browsing online_gaming
24,work code1 graphic_intensive game_dev graphic_design game_engine
25,work code1 graphic_intensive game_dev graphic_design
26,work code1 graphic_intensive game_dev graphic_design vector game_engine
27,work code1 graphic_intensive game_dev graphic_design game_engine vector
28,work code1 graphic_intensive game_dev graphic_design game_engine vector
29,work code1 graphic_intensive game_dev game_engine animator graphic_design
30,work code1 graphic_intensive game_dev game_engine graphic_design
31,work code1 graphic_intensive game_dev game_engine graphic_design
32,work code1 graphic_intensive game_dev game_engine animator
33,work code1 graphic_intensive game_dev game_engine animator
34,work code1 graphic_intensive game_dev game_engine
35,work code1 graphic_intensive artist vector animator graphic_design
36,work code1 graphic_intensive artist vector graphic_design animator
37,work code1 graphic_intensive artist vector graphic_design animator
38,work code1 graphic_intensive artist vector animator
39,work code1 graphic_intensive artist vector animator school
40,work code1 graphic_intensive artist animator game_engine
41,work code1 artist animator graphic_intensive vector
42,work code1 graphic_intensive artist animator game_engine
43,work code1 graphic_intensive artist animator vector
44,work code1 graphic_intensive artist animator
45,work code1 data_intensive scientist research school
46,work code1 data_intensive scientist research industry1
47,work code1 data_intensive scientist research school
48,work code1 data_intensive scientist research school industry1
49,work code1 data_intensive scientist research industry1 graphic_design
50,work code1 data_intensive scientist industry1
51,work code1 data_intensive scientist industry1
52,work code1 data_intensive scientist industry1
53,work code1 data_intensive scientist industry1 research
54,work code1 data_intensive scientist industry1 research
55,work code1 data_intensive engineer school
56,work code1 data_intensive engineer school
57,work code1 data_intensive engineer school research industry2
