ProductId,Rating,CorrectUserAttributes,IncorrectUserAttributes
0,3.5,work code1 graphic_intensive game_dev graphic_design,
1,5.0,work code1 graphic_intensive game_dev game_engine,
2,4.0,work code1 graphic_intensive artist vector,
3,2.5,work code1 graphic_intensive artist animator,
4,5.0,work code1 data_intensive scientist research,
5,5.0,work code1 data_intensive scientist industry1,
6,1.5,work code1 engineer school,
7,4.0,work code1 data_intensive engineer industry2,
8,1.5,work admin advance_usage comm high_end_user,
9,5.0,work admin advance_usage comm low_end_user,
10,2.5,work admin advance_usage data,
11,5.0,work admin advance_usage data system_admin,
12,1.5,work admin simple_usage word_processing student,
13,2.5,work admin simple_usage word_processing industry3,
14,2.0,work admin simple_usage pos,
15,4.0,work admin simple_usage pos large_business,
16,3.5,casual gaming hardcore repetitive,
17,1.5,casual gaming hardcore strategic,
18,3.5,gaming softcore real_time,
19,5.0,casual gaming softcore casino_games,
20,3.5,casual applications browsing media pictures,
21,3.0,casual browsing media video,
22,4.5,casual applications browsing website online_gaming,
23,5.0,casual applications browsing website social,
24,3.5,work code1 graphic_intensive game_dev graphic_design,
25,3.5,work code1 graphic_intensive game_dev graphic_design,
26,1.5,work code1 graphic_intensive game_dev graphic_design,
27,2.0,work code1 graphic_intensive game_dev graphic_design,
28,2.0,work code1 graphic_intensive game_dev graphic_design,
29,1.5,work code1 graphic_intensive game_dev game_engine,graphic_design
30,4.5,work code1 graphic_intensive game_dev game_engine,
31,3.0,work code1 graphic_intensive game_dev game_engine,
32,2.0,work code1 graphic_intensive game_dev game_engine,
33,3.5,work code1 graphic_intensive game_dev game_engine,
34,5.0,work code1 graphic_intensive game_dev,
35,5.0,work code1 graphic_intensive artist vector,
36,4.0,work graphic_intensive artist vector,
37,5.0,work code1 graphic_intensive artist vector,
38,5.0,work code1 graphic_intensive artist vector,
39,2.0,work code1 graphic_intensive artist vector,
40,5.0,work code1 graphic_intensive artist animator,
41,3.0,work code1 graphic_intensive artist animator,
42,5.0,work code1 graphic_intensive artist animator,
43,4.0,work code1 graphic_intensive artist animator,
44,2.5,work code1 artist animator,vector
45,5.0,work code1 data_intensive scientist research,
46,5.0,work code1 data_intensive scientist research,
47,5.0,work code1 data_intensive scientist research,
48,5.0,work code1 data_intensive scientist research,school
49,4.0,work code1 data_intensive scientist,
50,2.0,work code1 data_intensive scientist industry1,
51,1.5,work code1 data_intensive scientist industry1,
52,5.0,work data_intensive scientist,
53,3.5,work code1 data_intensive scientist industry1,
