AuthorId,PaperIds
2080775,2200312 1047104 280462 1467879
1449997,2246338 2208799 2166429 1956006 1938822 1919320 1818632 1548583 1298837 1257143 1009518 983689 977723 949588 712114 640020 610954 505648 184116 150678 131780 2154495 1257890 1097999 800233 2117011 1518830 1324722 882996 491778 231011 178846 121710 679601 110464 92678 2142830 1844581 1184114 1148497 907858 889233 862109 846769 673101 656215 180935 1654274 1469797 1361252 1280735 1212140 1169850 615668 508399 49808 2221775 2105911 2095772 2092083 2017920 1820969 1782311 1775141 1280836 1146998 1139266 639893 347655 308173 278509 1860361 1730862 1565222 903714 573804 296180 228628 2217498 1829174 1783148 2256027 2238546 2199312 2169229 2099907 2086480 2069163 1996329 1965371 1865740 1755607 1635899 1610730 1573677 1428408 1280506 1279978 1138254 1084010 1036947 901232 854665 825094 745076 593640 416445 367603 362613 309836 100922 91303 68165 1631830 534272 2193101 1582153 1289494 1197674 1133014 1108879 56620 1451236 521425 1353610 708423 1310231 359251 2011324 2155392 1167317 2104398 1005650 705603 2227394 1144918 2020270 1767949 1526929 466488 1233667 1638716 1349016 1350192 997095 1878050 1796006 1737646 1573557 1378307 1268714 1249533 1152366 1122925 1118986 801692 740570 722753 621494 557671 377119 373182 1311344 57616 1493539 1619770 533284 2234715 1351112 1156673 792080 584145 415226 398755 105701 4449 1539429 1791967 1569718 1389825 781436 239245 1385325 892111 769393 664519 284416 1896408 1998497 1860884 1608550 1512168 1403571 1139898 830901 677302 435540 341631 19685 2258855 2226595 2076475 2068775 2014781 1996679 1886337 1878055 1877715 1718292 1703897 1629445 1566195 1528971 1497272 1434269 1377750 1352391 1346062 1272178 1258401 1123626 1098736 1084472 1037916 1030570 1023448 987501 960257 932100 911506 910361 836226 817651 634800 530917 519686 514773 499044 486709 474284 462957 386399 200929 200180 120646 119775 10821 1808375 1778740 1517321 1481422 1463279 506329 136615 514112 783621 777932 325566 564160 233113 942094 1392515 406487 1274537 890376 294614 177868 1926804 1726513 1266168 1421643 1874320 1565250 1722180 1589355 568550 581863 2239685 1134778 1108868 1105980 949419 1336240 1047263 279430 2175781 1064641 948733 809918 249384 140233 2141453 1314969 18780 1484544 2104115 794032
1646608,1109704 1353294 2010045 920493 637230 108069 1276973 1214962 1222335 1726576 937798 86274 1326853 337144 2104510 452542 55289 154185
548881,1079278 112974 859025 1018076 892266 308398 18338 661358 123113 25095 2171448 375198 1517362 561595 10951 10951 678591 2019446 782302 402538 1335059 984197 1407349 241424 1856008 1199770 2228841 2228841 1290332 2071145 1810044 1734866 1583546 1206789 1206789 777515 1797748 394121 550461 1047577 1047577 910089 1486126 744232 1149972 936276 769886 1651731 1235168 1717926 1025304 125040 1708010 1365608 1832338 1748394 897748 1988146 2145231 1355566 561905 1064813 267733 1662128 2148361
1409048,1086416 1086416 1086416 1040223 1040223 1040223 340873 340873 340873 1867262 1867262 1867262 1658596 1658596 1658596 1509560 1259500 1259500 1259500 774860 774860 774860 1995531 1995531 1995531
1105949,106577 887268 470196 1772198 881854 1765928 1112361 303443 910272 851741 326936 554949 308939 1937779 1261968 1959935 1508783 1236126 442334 928159 1723984 252862 637053
286759,1482575 1736484 2035525 667657 2063392 1804797 1645200 1922137 1664197 1060946 827692 2135477 2071962 1059519 1370811 1086880 1195279 2236050 938315
950318,772812 1349883 1316908
41009,2034501 199656 2124527 1029758 863425 1698249 1138474 1308254 643702 336248 1474631 656419 246701 1531457 84587 1492021 1225680 428606 114875 2228833 1839925 1375484 915032 376081 2097253 1503866 2038704 261035 253685 253685 1934756 2234486 1819448 1573546 926841 827041 637278 330114 2080354 1994425 1956351 1862142 1592115 56140 1398925 644357 2181493 1258284 2026989 2058482 1357171 1176104 129720
55,1420910 1006063 285210 2145125 507841 501918 283152 2253161 674836 538215 368324 1068666 1404308 360533 1134037 847721 360278 949475 855331 1598529 1567825 1503337 1309499 842748 787670 778747 590824 569149 427328 1258087 2172944 2135162 1704638 1686687 1627327 1480374 1389913 1355338 1330500 1311582 1234065 1175552 1003588 860343 844326 791391 767668 739353 707333 701621 596639 243218 2060463 1767867 1575412 1314361 1111248 2097673 2020967 224005 109868 75356 1473948 1226103 282173 2067435 657724 1373323 847749 745317 629576 313273 311565 178136 1127766 662811 1475480 2254072 2182966 443903 2006004 1978555 1842680 1596644 1341262 1235117 1002385 441364 188583 2052277 1740617 1705250 1406810 1129545 991821 951610 873533 191340 372043 1490929 110515 258012 102768 1805568 1600372 1521193 1347683 1147447 1130940 836220 809176 569738 419865 348351 36459 25103 1457884 1290673 1173588 571156 327786 2219269 2152937 2107137 2061699 1917226 1845348 1334565 1306853 1232116 1224097 839470 837051 836932 768943 666181 393613 367455 341809 217562 179163 69178 42966 2239080 2188967 2188615 2139275 2020050 1963658 1923712 1914211 1779715 1728999 1671418 1619343 1598603 1513936 1505207 1495079 1470552 1441833 1401976 1394715 1358761 1292671 1265959 1246558 1149308 1040990 857434 778260 742557 716659 636227 602590 563378 529078 185529 138408 68389 801400 2227977 1315501 947880 2140444 2089307 2086146 2043565 1618919 1609130 1309753 1051834 440944 1051041 787757 607208 1213444 787171 494493 68780 1268918 1350211 1170435 1106983 2001206 1247571 655318 600193 520682 1998820 1973900 589720 144775 1958000 197854 2213984 1971149 1617887 733638 1012283 685489 1212786 757830 2139295 487867 812510 95899 2223355 2243047 2148216 2101279 1993390 1809054 1315957 1303769 1296398 1224720 1157610 981085 801725 374924 362297 251879 1488589 1336245 542459 423069 2149929 400429 1324071 2233795 2169279 2116002 2088058 2069862 1964990 1935912 1892017 1842828 1813933 1807352 1796849 1704151 1692285 1674347 1647435 1629211 1514435 1503094 1487068 1432571 1412697 1390814 1334503 1279252 1254356 1246911 1182092 1162408 1131277 1065523 1028676 998325 916062 878853 878611 869430 782195 761011 645843 618099 605718 561429 548812 530550 433440 424703 415677 402085 400432 275203 167677 128962 82669 75169 55193 478547 1120846 1117699 452096 443598 156007 1318181 429669 2160386 2133149 2130152 1996769 1868160 1844943 1709669 1645597 1536069 1516256 1484358 1453295 1421288 1402396 1333822 1318932 1291570 1253687 1236357 1030869 1017616 914441 600343 413987 396571 337774 330142 294906 222469 178422 164850 129165 122970 441057 2188174 1166498 567439 391076 1647084 1417252 1258466 965304 816840 762178 671895 491228 468963 418934 169774 1905878 766130 1691264 1218501 590988 449667 160532 2248734 2161270 2071330 1988643 1953648 1709794 1369596 1348168 545233 533875 366499 269210 157653 47028 2239313 2050391 1846507 1715897 1358815 1221789 1114808 1038114 838147 415449 389256 375645 40294 24074 1874507 1501821 2185666 577846 2010142 1044866 1039736 411010 327692 617344 250051 847068 749124 2228319 2092511 292208 267444 50011 1689507 1384633 1819740 1762246 1748110 1604996 1409438 1374577 1124696 1079496 889545 633416 518886 500411 248390 161497 136767 580095 1537119 1464112 944768 228600 1909176 2054919 2014129 1639061 433613 1545364 427091 1961041 1871885 1412366 913529 108616 1426341 375494 1976657 520007 1562350 1561911 1471568 1079484 861633 209987 151248 1791611 295041 19294 649131 2203516 2160850 1845523 1792050 1321344 1283236 1000445 919007 616823 300323 2126038 1330055 1058628 20444 1754410 1477509 810770 697076 690310 583593 222631 1425243 939887 1587177 1113127 933473 627473 609556 341916 145200 1200417 1087938 1165889 2242701 1634096 153324 2047193 2170187 1988335 566388 25304 1696592 824805 2078331 1613009 1389430 862499 82789 2238930 2232203 2169998 2001305 1974662 1669282 1665586 1638417 1637203 1611534 1605108 1507925 1482854 1392908 1340284 1299922 1268197 1200622 1095626 1032043 898876 823685 783611 753581 720336 699144 649955 640883 605597 529900 515706 511272 493623 434161 401485 372836 77268 1561133 852486 652442 599636 1572902 1267968 2228219 2100017 2069581 2033860 1930652 1886009 1737538 1598298 1368392 1338645 1272277 1231847 1131748 1034482 744480 601175 446774 391835 372994 317855 264821 241121 52775 1639193 836602 462613 380270 2025947 1822770 1481605 1360578 1328475 1281589 1088098 973193 558232 493921 299391 178497 1208855 2187821 1912963 1782482 1768979 1564558 1559958 1376095 1294041 1231449 1183554 1058984 918326 794747 747730 733374 717808 686632 651888 166298 2221713 2209422 2031585 1883848 1874629 1705023 1693618 1690254 1659666 1618867 1614166 1588620 1493998 1287246 1275261 1204075 1153819 1081944 1057692 883792 869813 867779 860367 824229 821861 819589 810900 805860 800859 464497 417586 397455 369796 341776 322106 312517 139335 138526 85184 15471 2507 2235159 1263351 640178 293806 2172928 2189241 2144025 1743955 1717868 1230662 1169763 885156 849805 803603 732607 683325 479932 434255
